# Force and moment coefficients
# dragDir           : (1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# sideDir           : (0.000000000000e+00 1.000000000000e+00 0.000000000000e+00)
# liftDir           : (0.000000000000e+00 0.000000000000e+00 1.000000000000e+00)
# rollAxis          : (1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# pitchAxis         : (0.000000000000e+00 1.000000000000e+00 0.000000000000e+00)
# yawAxis           : (0.000000000000e+00 0.000000000000e+00 1.000000000000e+00)
# magUInf           : 4.000000000000e+01
# lRef              : 1.044000000000e+00
# Aref              : 1.120000000000e-01
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
#
# Time              	Cd                  	Cd(f)               	Cd(r)               	Cl                  	Cl(f)               	Cl(r)               	CmPitch             	CmRoll              	CmYaw               	Cs                  	Cs(f)               	Cs(r)               
533                 	3.788192386720e-01	1.898254832856e-01	1.889937553864e-01	5.220770461331e-01	-7.893440751675e-02	6.010114536499e-01	-3.399729305833e-01	4.158639496206e-04	4.945426967457e-03	1.448854921439e-02	1.218970157465e-02	2.298847639740e-03
534                 	3.810174190291e-01	1.909084287944e-01	1.901089902347e-01	5.276862312589e-01	-7.685231620357e-02	6.045385474625e-01	-3.406954318330e-01	3.997192798465e-04	4.942878833194e-03	1.565137245931e-02	1.276856506285e-02	2.882807396461e-03
535                 	3.819355895695e-01	1.912414447044e-01	1.906941448652e-01	5.302499851962e-01	-7.214048430855e-02	6.023904695047e-01	-3.372654769066e-01	2.736499195993e-04	4.294297350278e-03	1.445381681248e-02	1.152120575652e-02	2.932611055963e-03
536                 	3.816402166714e-01	1.910015117131e-01	1.906387049583e-01	5.213134651674e-01	-6.508294661866e-02	5.863964117860e-01	-3.257396792023e-01	1.814033773805e-04	2.987361387326e-03	1.133230595845e-02	8.653514366551e-03	2.678791591899e-03
537                 	3.806550946544e-01	1.904543336152e-01	1.902007610392e-01	4.981095161019e-01	-5.539475463149e-02	5.535042707334e-01	-3.044495126824e-01	1.267862880299e-04	9.496855117299e-04	6.535148784169e-03	4.217259903814e-03	2.317888880355e-03
538                 	3.788812286998e-01	1.894785337807e-01	1.894026949191e-01	4.633441272542e-01	-4.386195645375e-02	5.072060837079e-01	-2.755340200808e-01	3.791943080834e-05	-1.593413303383e-03	5.965936735813e-04	-1.295116466593e-03	1.891710140174e-03
539                 	3.756558006240e-01	1.877218994709e-01	1.879339011531e-01	4.256724769422e-01	-3.186855784826e-02	4.575410347905e-01	-2.447047963194e-01	-1.060008411116e-04	-4.130502434974e-03	-5.749590070247e-03	-7.005297470097e-03	1.255707399850e-03
540                 	3.704222402635e-01	1.849738634420e-01	1.854483768215e-01	3.908558921382e-01	-2.075657452296e-02	4.116124666611e-01	-2.161845205920e-01	-2.372566897662e-04	-5.763216426614e-03	-1.077689206064e-02	-1.115166245693e-02	3.747703962965e-04
541                 	3.639740085547e-01	1.816710016860e-01	1.823030068687e-01	3.612176266938e-01	-1.131502087476e-02	3.725326475686e-01	-1.919238342217e-01	-3.160025913406e-04	-6.026288757154e-03	-1.317983758907e-02	-1.261620755169e-02	-5.636300373808e-04
542                 	3.586695942961e-01	1.790300176091e-01	1.796395766870e-01	3.353017480982e-01	-4.876783178899e-03	3.401785312771e-01	-1.725276572280e-01	-3.047795389223e-04	-5.094361599817e-03	-1.252305278481e-02	-1.135588799222e-02	-1.167164792591e-03
543                 	3.564211193694e-01	1.779494164670e-01	1.784717029025e-01	3.098932654401e-01	-2.445367670618e-03	3.123386331107e-01	-1.573920003906e-01	-2.611432177507e-04	-3.715920330824e-03	-9.481006194529e-03	-8.456423428089e-03	-1.024582766440e-03
544                 	3.571654499217e-01	1.784111482513e-01	1.787543016704e-01	2.871580901071e-01	-4.008781317943e-03	2.911668714250e-01	-1.475878263715e-01	-1.715767095255e-04	-2.321518887991e-03	-4.677034882984e-03	-4.660036329483e-03	-1.699855350115e-05
545                 	3.595677052498e-01	1.797897454009e-01	1.797779598489e-01	2.812556104091e-01	-8.196492693032e-03	2.894521031021e-01	-1.488242978976e-01	5.892776014737e-06	-1.093290381931e-03	5.774678548161e-04	-8.045564545229e-04	1.382024309339e-03
546                 	3.612571634735e-01	1.808453666736e-01	1.804117967999e-01	2.911520861872e-01	-1.335657744865e-02	3.045086636358e-01	-1.589326205422e-01	2.167849368554e-04	1.833919139691e-04	5.630225591600e-03	2.998504709769e-03	2.631720881831e-03
547                 	3.616230360601e-01	1.811870238619e-01	1.804360121982e-01	3.153395389838e-01	-1.801911785265e-02	3.333586568364e-01	-1.756888873445e-01	3.755058318663e-04	1.435373702711e-03	9.715829937200e-03	6.293288671312e-03	3.422541265889e-03
548                 	3.614101279229e-01	1.811959560524e-01	1.802141718705e-01	3.476328093933e-01	-2.249918193351e-02	3.701319913269e-01	-1.963155866302e-01	4.908920909820e-04	2.711742517386e-03	1.287792278817e-02	9.150703911471e-03	3.727218876699e-03
549                 	3.613809059234e-01	1.812719125195e-01	1.801089934039e-01	3.801821621795e-01	-2.704975137850e-02	4.072319135580e-01	-2.171408324682e-01	5.814595577992e-04	3.567729392382e-03	1.444853890607e-02	1.079199884542e-02	3.656540060655e-03
550                 	3.614541117036e-01	1.813199653050e-01	1.801341463985e-01	4.074620634961e-01	-3.227084363449e-02	4.397329071306e-01	-2.360018753826e-01	5.929094532593e-04	3.243685486095e-03	1.310935255764e-02	9.798361764914e-03	3.310990792724e-03
551                 	3.613313204347e-01	1.810990603461e-01	1.802322600886e-01	4.304626029946e-01	-3.834985069145e-02	4.688124536860e-01	-2.535811521887e-01	4.334001287272e-04	1.737723551318e-03	8.738505291180e-03	6.106976196908e-03	2.631529094272e-03
